inc_vote,year,inflation,goodnews,growth
48.516,1876.0,,,5.11
50.22,1880.0,1.974,9.0,3.879
49.846,1884.0,1.055,2.0,1.589
50.414,1888.0,0.604,3.0,-5.553
48.268,1892.0,2.274,7.0,2.763
47.76,1896.0,3.41,6.0,-10.024
53.171,1900.0,2.548,7.0,-1.425
60.006,1904.0,1.442,5.0,-2.421
54.483,1908.0,1.879,8.0,-6.281
54.708,1912.0,2.172,8.0,4.164
51.682,1916.0,4.252,3.0,2.229
36.148,1920.0,0.0,0.0,-11.463
58.263,1924.0,5.161,10.0,-3.872
58.756,1928.0,0.183,7.0,4.623
40.851,1932.0,6.928,4.0,-14.35
62.226,1936.0,2.498,9.0,11.682
54.983,1940.0,0.051,8.0,3.913
53.778,1944.0,0.0,0.0,4.122
52.319,1948.0,0.0,0.0,3.214
44.71,1952.0,2.353,7.0,0.997
57.094,1956.0,1.907,5.0,-1.252
49.913,1960.0,1.98,5.0,0.674
61.203,1964.0,1.241,9.0,5.03
49.425,1968.0,3.086,7.0,5.045
61.791,1972.0,4.813,4.0,5.834
48.951,1976.0,7.463,5.0,3.817
44.842,1980.0,7.795,5.0,-3.583
59.123,1984.0,5.21,8.0,5.55
53.832,1988.0,2.871,5.0,2.403
46.379,1992.0,3.193,3.0,3.035
54.737,1996.0,2.031,4.0,3.315
50.262,2000.0,1.683,7.0,2.031
51.233,2004.0,2.141,2.0,2.086
46.311,2008.0,2.745,2.0,-1.787
52.01,2012.0,1.47,1.0,1.422
51.111,2016.0,1.42,2.0,0.97
