countryname,polity2,polity2_cat,gdpcapita,gdpcapita_cat,happiness,happiness_cat,life_expectancy,life_expectancy_cat
Afghanistan,-1,anocracies,2190.7515,low-income,2.694,least happy,52.599998,shortest lives
Albania,9,democracies,13602.374,middle-income,5.0040002,middle happiness,68.699997,middle
Algeria,2,anocracies,11475.844,middle-income,5.0430002,middle happiness,65.900002,middle
Argentina,9,democracies,22742.701,middle-income,5.7930002,middle happiness,68.800003,middle
Armenia,7,democracies,12720.883,middle-income,5.0619998,middle happiness,66.900002,middle
Australia,10,democracies,49563,rich,7.177,most happy,73.599998,longest lives
Austria,10,democracies,55714.766,rich,7.3959999,most happy,73,longest lives
Azerbaijan,-7,autocracies,14214.25,middle-income,5.1680002,middle happiness,65.5,middle
Bangladesh,-6,autocracies,4442.6226,low-income,4.4990001,least happy,64.300003,middle
Belarus,-7,autocracies,18882.668,middle-income,5.2340002,middle happiness,66.099998,middle
Belgium,8,democracies,51225.863,rich,6.8920002,most happy,72,longest lives
Benin,7,democracies,3162.1265,low-income,5.8200002,middle happiness,54.299999,shortest lives
Bolivia,7,democracies,8655.9307,middle-income,5.9159999,middle happiness,63.599998,middle
Botswana,8,democracies,17641.332,middle-income,3.461,least happy,58.900002,shortest lives
Brazil,8,democracies,14603.255,middle-income,6.191,middle happiness,66.400002,middle
Bulgaria,9,democracies,22181.191,middle-income,5.099,middle happiness,66.800003,middle
Burkina Faso,6,democracies,2132.3928,low-income,4.927,middle happiness,53.900002,shortest lives
Burundi,-1,anocracies,761.27924,low-income,3.7750001,least happy,53.400002,shortest lives
Cambodia,-4,anocracies,4158.8765,low-income,5.1220002,middle happiness,61.599998,middle
Cameroon,-4,anocracies,3604.7207,low-income,5.2509999,middle happiness,52.700001,shortest lives
Canada,10,democracies,48922.875,rich,7.1750002,most happy,73.599998,longest lives
Chad,-2,anocracies,1576.559,low-income,4.4860001,least happy,48.200001,shortest lives
Chile,10,democracies,24270.094,middle-income,6.4359999,most happy,69.900002,longest lives
China,-7,autocracies,15244.895,middle-income,5.131,middle happiness,69.300003,longest lives
Colombia,7,democracies,14457.961,middle-income,5.9840002,middle happiness,67.699997,middle
Comoros,-3,anocracies,3065.604,low-income,3.973,least happy,57.200001,shortest lives
Congo Brazzaville,-4,anocracies,3415.2285,low-income,5.4899998,middle happiness,57.900002,shortest lives
Costa Rica,10,democracies,19418.852,middle-income,7.1409998,most happy,71.300003,longest lives
Cote D'Ivoire,4,anocracies,5029.1172,low-income,5.2680001,middle happiness,49.5,shortest lives
Croatia,9,democracies,27556.672,middle-income,5.5359998,middle happiness,70.199997,longest lives
Cyprus,10,democracies,38832.02,rich,6.276,most happy,73.699997,longest lives
Czech Republic,9,democracies,39458.32,rich,7.0339999,most happy,70.300003,longest lives
Denmark,10,democracies,56106.133,rich,7.6490002,most happy,72.400002,longest lives
Dominican Republic,7,democracies,17712.035,middle-income,5.4330001,middle happiness,65.800003,middle
Ecuador,5,anocracies,11556.456,middle-income,6.1279998,middle happiness,68.5,middle
Egypt,-4,anocracies,11361.666,middle-income,4.0050001,least happy,61.700001,middle
El Salvador,8,democracies,8612.7578,middle-income,6.2410002,middle happiness,66.099998,middle
Estonia,9,democracies,35312.777,rich,6.0910001,middle happiness,68.599998,middle
Ethiopia,1,anocracies,2102.7473,low-income,4.3790002,least happy,58.5,shortest lives
